Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 4046772k(3155288k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2017-06-06T09:50:39.014+0000: 471.057: [GC (Allocation Failure) [PSYoungGen: 650265K->480K(678912K)] 922171K->272401K(2077184K), 0.0073757 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:50:50.984+0000: 483.027: [GC (Allocation Failure) [PSYoungGen: 657268K->480K(676864K)] 929189K->272417K(2075136K), 0.0106233 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2017-06-06T09:51:04.847+0000: 496.891: [GC (Allocation Failure) [PSYoungGen: 656921K->608K(681984K)] 928858K->272561K(2080256K), 0.0084668 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2017-06-06T09:51:17.431+0000: 509.474: [GC (Allocation Failure) [PSYoungGen: 663764K->512K(680448K)] 935717K->272489K(2078720K), 0.0073812 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2017-06-06T09:51:29.263+0000: 521.306: [GC (Allocation Failure) [PSYoungGen: 663867K->416K(684544K)] 935845K->272409K(2082816K), 0.0079119 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-06-06T09:51:41.418+0000: 533.461: [GC (Allocation Failure) [PSYoungGen: 668837K->448K(683008K)] 940830K->272457K(2081280K), 0.0169227 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-06-06T09:51:53.227+0000: 545.271: [GC (Allocation Failure) [PSYoungGen: 669108K->576K(686592K)] 941117K->272601K(2084864K), 0.0092630 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-06-06T09:52:05.544+0000: 557.587: [GC (Allocation Failure) [PSYoungGen: 673387K->576K(685568K)] 945412K->272649K(2083840K), 0.0107982 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:52:17.118+0000: 569.162: [GC (Allocation Failure) [PSYoungGen: 673393K->608K(688640K)] 945466K->272697K(2086912K), 0.0080367 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:52:29.545+0000: 581.588: [GC (Allocation Failure) [PSYoungGen: 677984K->704K(687616K)] 950073K->272809K(2085888K), 0.0102007 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-06-06T09:52:40.458+0000: 592.501: [GC (Allocation Failure) [PSYoungGen: 678013K->384K(690176K)] 950118K->272517K(2088448K), 0.0079953 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2017-06-06T09:52:52.507+0000: 604.551: [GC (Allocation Failure) [PSYoungGen: 680717K->448K(689152K)] 952850K->272609K(2087424K), 0.0097702 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2017-06-06T09:53:04.210+0000: 616.254: [GC (Allocation Failure) [PSYoungGen: 680490K->512K(691200K)] 952652K->272689K(2089472K), 0.0080928 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2017-06-06T09:53:15.526+0000: 627.570: [GC (Allocation Failure) [PSYoungGen: 683401K->544K(690688K)] 955579K->272737K(2088960K), 0.0074790 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2017-06-06T09:53:27.244+0000: 639.288: [GC (Allocation Failure) [PSYoungGen: 683435K->640K(692224K)] 955629K->272849K(2090496K), 0.0093593 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2017-06-06T09:53:38.173+0000: 650.216: [GC (Allocation Failure) [PSYoungGen: 685589K->544K(691712K)] 957798K->272769K(2089984K), 0.0070113 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2017-06-06T09:53:49.250+0000: 661.294: [GC (Allocation Failure) [PSYoungGen: 685232K->512K(693248K)] 957457K->272753K(2091520K), 0.0082413 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
